Time (s),Channel 1 (V)
-1.12925,-0.015716996
-1.129,-0.013340576
-1.12875,-0.015038019
-1.1285,-0.012661599
-1.12825,-0.015377507
-1.128,-0.013340576
-1.12775,-0.017414438
-1.1275,-0.015716996
-1.12725,-0.018772393
-1.127,-0.017414438
-1.12675,-0.023185743
-1.1265,-0.02386472
-1.12625,-0.027599094
-1.126,-0.024204209
-1.12575,-0.024543698
-1.1255,-0.020809324
-1.12525,-0.021148812
-1.125,-0.017753927
-1.12475,-0.018432904
-1.1245,-0.016395973
-1.12425,-0.019111881
-1.124,-0.018772393
-1.12375,-0.024543698
-1.1235,-0.02624114
-1.12325,-0.034049376
-1.123,-0.035407331
-1.12275,-0.040839147
-1.1225,-0.040499658
-1.12225,-0.044234032
-1.122,-0.041518124
-1.12175,-0.045591986
-1.1215,-0.042876078
-1.12125,-0.045591986
-1.121,-0.043215567
-1.12075,-0.045591986
-1.1205,-0.043555055
-1.12025,-0.045252498
-1.12,-0.043894544
-1.11975,-0.046949941
-1.1195,-0.04253659
-1.11925,-0.042197101
-1.119,-0.038802216
-1.11875,-0.040839147
-1.1185,-0.04016017
-1.11825,-0.042197101
-1.118,-0.040839147
-1.11775,-0.041857613
-1.1175,-0.040499658
-1.11725,-0.04016017
-1.117,-0.039481193
-1.11675,-0.038802216
-1.1165,-0.036425796
-1.11625,-0.034728353
-1.116,-0.032691422
-1.11575,-0.029975514
-1.1155,-0.026920117
-1.11525,-0.024883186
-1.115,-0.022506766
-1.11475,-0.020809324
-1.1145,-0.019790858
-1.11425,-0.018772393
-1.114,-0.019111881
-1.11375,-0.018093415
-1.1135,-0.017753927
-1.11325,-0.016056484
-1.113,-0.01469853
-1.11275,-0.011982622
-1.1125,-0.010624668
-1.11225,-0.010285179
-1.112,-0.009945691
-1.11175,-0.008248248
-1.1115,-0.009606202
-1.11125,-0.010285179
-1.111,-0.011982622
-1.11075,-0.011643133
-1.1105,-0.012661599
-1.11025,-0.013001088
-1.11,-0.014359042
-1.10975,-0.011643133
-1.1095,-0.010624668
-1.10925,-0.009606202
-1.109,-0.013001088
-1.10875,-0.01232211
-1.1085,-0.013680065
-1.10825,-0.011303645
-1.108,-0.013001088
-1.10775,-0.010624668
-1.1075,-0.012661599
-1.10725,-0.009606202
-1.107,-0.011982622
-1.10675,-0.010624668
-1.1065,-0.01469853
-1.10625,-0.013340576
-1.106,-0.016395973
-1.10575,-0.015716996
-1.1055,-0.022506766
-1.10525,-0.024204209
-1.105,-0.03099398
-1.10475,-0.030654491
-1.1045,-0.034388865
-1.10425,-0.029975514
-1.104,-0.030654491
-1.10375,-0.024543698
-1.1035,-0.024883186
-1.10325,-0.018432904
-1.103,-0.018093415
-1.10275,-0.011982622
-1.1025,-0.011643133
-1.10225,-0.006890294
-1.102,-0.010624668
-1.10175,-0.010964156
-1.1015,-0.01707495
-1.10125,-0.01707495
-1.101,-0.022167278
-1.10075,-0.022506766
-1.1005,-0.027599094
-1.10025,-0.027938583
-1.1,-0.034388865
-1.09975,-0.033709888
-1.0995,-0.037444262
-1.09925,-0.034049376
-1.099,-0.035746819
-1.09875,-0.032351934
-1.0985,-0.035067842
-1.09825,-0.03099398
-1.098,-0.033030911
-1.09775,-0.029296537
-1.0975,-0.031333468
-1.09725,-0.026580629
-1.097,-0.028957048
-1.09675,-0.02386472
-1.0965,-0.025222675
-1.09625,-0.019790858
-1.096,-0.020130347
-1.09575,-0.015038019
-1.0955,-0.016056484
-1.09525,-0.012661599
-1.095,-0.014019553
-1.09475,-0.010624668
-1.0945,-0.011982622
-1.09425,-0.008927225
-1.094,-0.011303645
-1.09375,-0.009606202
-1.0935,-0.011982622
-1.09325,-0.010285179
-1.093,-0.010964156
-1.09275,-0.008248248
-1.0925,-0.00790876
-1.09225,-0.004513874
-1.092,-0.003495409
-1.09175,0.000578454
-1.0915,0.001596919
-1.09125,0.004991805
-1.091,0.004991805
-1.09075,0.007028736
-1.0905,0.004991805
-1.09025,0.005331293
-1.09,0.00363385
-1.08975,0.004312828
-1.0895,0.00363385
-1.08925,0.004991805
-1.089,0.005670782
-1.08875,0.009744644
-1.0885,0.012121064
-1.08825,0.013139529
-1.088,0.011102598
-1.08775,0.008726178
-1.0875,0.004652316
-1.08725,-0.001458477
-1.087,-0.006890294
-1.08675,-0.010964156
-1.0865,-0.009945691
-1.08625,-0.008587737
-1.086,-0.004174386
-1.08575,-0.001797966
-1.0855,0.001257431
-1.08525,0.002615385
-1.085,0.005670782
-1.08475,0.00601027
-1.0845,0.007368224
-1.08425,0.005670782
-1.084,0.004991805
-1.08375,0.001936408
-1.0835,0.000917942
-1.08325,-0.003495409
-1.083,-0.003834897
-1.08275,-0.008248248
-1.0825,-0.007569271
-1.08225,-0.013001088
-1.082,-0.013680065
-1.08175,-0.01945137
-1.0815,-0.019790858
-1.08125,-0.024204209
-1.081,-0.023525232
-1.08075,-0.027938583
-1.0805,-0.028278071
-1.08025,-0.033709888
-1.08,-0.036086308
-1.07975,-0.04253659
-1.0795,-0.040499658
-1.07925,-0.041857613
-1.079,-0.038123239
-1.07875,-0.040839147
-1.0785,-0.036765285
-1.07825,-0.037104773
-1.078,-0.032012445
-1.07775,-0.031672957
-1.0775,-0.027938583
-1.07725,-0.028957048
-1.077,-0.025562163
-1.07675,-0.027599094
-1.0765,-0.023185743
-1.07625,-0.022846255
-1.076,-0.01707495
-1.07575,-0.01707495
-1.0755,-0.013340576
-1.07525,-0.014019553
-1.075,-0.010964156
-1.07475,-0.011643133
-1.0745,-0.006550805
-1.07425,-0.006211317
-1.074,-0.000440012
-1.07375,0.000578454
-1.0735,0.006689247
-1.07325,0.007028736
-1.073,0.012121064
-1.07275,0.010084133
-1.0725,0.013479018
-1.07225,0.010084133
